Year,Semester,OutgoingSmith,NumStud,CourseEnrollments,NumDiffCourse
2013,Fall,Amherst,75,78,59
2013,Fall,Hampshire,70,78,52
2013,Fall,MtHolyoke,57,65,48
2013,Fall,UMASS,170,221,154
2014,Fall,Amherst,65,69,56
2014,Fall,Hampshire,65,71,44
2014,Fall,MtHolyoke,45,47,36
2014,Fall,UMASS,149,179,132
2015,Fall,Amherst,66,74,56
2015,Fall,Hampshire,70,79,56
2015,Fall,MtHolyoke,63,68,51
2015,Fall,UMASS,158,196,156
2016,Fall,Amherst,43,47,34
2016,Fall,Hampshire,54,56,38
2016,Fall,MtHolyoke,31,32,26
2016,Fall,UMASS,181,209,145
2017,Fall,Amherst,54,62,46
2017,Fall,Hampshire,54,56,33
2017,Fall,MtHolyoke,27,29,23
2017,Fall,UMASS,156,181,40
2014,Spring,Amherst,66,72,58
2014,Spring,Hampshire,66,71,55
2014,Spring,MtHolyoke,55,58,39
2014,Spring,UMASS,176,203,138
2015,Spring,Amherst,75,88,65
2015,Spring,Hampshire,98,108,68
2015,Spring,MtHolyoke,49,55,46
2015,Spring,UMASS,184,215,146
2016,Spring,Amherst,70,73,56
2016,Spring,Hampshire,60,66,50
2016,Spring,MtHolyoke,43,46,34
2016,Spring,UMASS,183,214,141
2017,Spring,Amherst,67,69,51
2017,Spring,Hampshire,63,65,45
2017,Spring,MtHolyoke,36,39,37
2017,Spring,UMASS,188,220,147
2018,Spring,Amherst,50,52,42
2018,Spring,Hampshire,64,69,48
2018,Spring,MtHolyoke,43,46,35
2018,Spring,UMASS,184,212,151